length	count
5	65
6	269
7	382
8	1076
9	1660
10	1390
11	2552
12	2566
13	2268
14	2841
15	3575
16	3397
17	3819
18	3759
19	4971
20	4964
21	4629
22	5456
23	4667
24	5455
25	4844
26	5010
27	5885
28	5211
29	4901
30	4871
31	5148
32	5451
33	4091
34	4574
35	4320
36	4868
37	4282
38	3752
39	4673
40	3813
41	4895
42	2971
43	3798
44	4078
45	3843
46	3689
47	3547
48	3350
49	3323
50	4083
51	3832
52	3225
53	3672
54	3524
55	3442
56	3777
57	3321
58	4256
59	2730
60	2880
61	3076
62	2967
63	2793
64	2445
65	2426
66	3004
67	2454
68	2434
69	2561
70	2515
71	2286
72	2193
73	2188
74	2235
75	2066
76	2175
77	2207
78	2346
79	2092
80	2216
81	2093
82	2065
83	1929
84	1904
85	2051
86	1993
87	1866
88	1921
89	1973
90	1942
91	1944
92	1945
93	1952
94	1825
95	1791
96	1788
97	1992
98	1778
99	1833
100	1774
101	1694
102	1642
103	1790
104	1693
105	1681
106	1824
107	1595
108	1575
109	1710
110	1616
111	1582
112	1586
113	1476
114	1678
115	1460
116	1432
117	1548
118	1407
119	1573
120	1436
121	1377
122	1505
123	1467
124	1434
125	1367
126	1393
127	1439
128	1362
129	1310
130	1353
131	1387
132	1377
133	1338
134	1323
135	1291
136	1337
137	1344
138	1255
139	1303
140	1229
141	1238
142	1215
143	1226
144	1178
145	1103
146	1158
147	1183
148	1086
149	1104
150	1142
151	1096
152	1145
153	1063
154	1080
155	1094
156	1043
157	1094
158	986
159	1046
160	1001
161	956
162	1030
163	1089
164	927
165	957
166	968
167	873
168	1030
169	977
170	944
171	923
172	966
173	937
174	891
175	852
176	1070
177	973
178	785
179	896
180	846
181	803
182	825
183	861
184	858
185	792
186	818
187	800
188	806
189	726
190	734
191	683
192	744
193	753
194	745
195	747
196	778
197	861
198	1032
199	1326
200	2900
201	7335
202	10486
203	12528
204	11671
205	10305
206	7855
207	5313
208	3450
209	2277
210	1257
211	775
212	497
213	267
214	191
215	123
216	70
217	75
218	61
219	55
220	80
221	50
222	73
223	50
224	50
225	127
226	52
227	55
228	47
229	41
230	55
231	54
232	73
233	91
234	27
235	49
236	49
237	32
238	89
239	96
240	57
241	41
242	42
243	50
244	49
245	26
246	61
247	25
248	43
249	52
250	52
251	33
252	46
253	23
254	30
255	42
256	26
257	91
258	30
259	46
260	36
261	50
262	34
263	25
264	13
265	26
266	31
267	23
268	27
269	20
270	38
271	27
272	30
273	35
274	34
275	22
276	48
277	14
278	22
279	52
280	23
