length	count
5	65
6	269
7	382
8	1072
9	1664
10	1386
11	2554
12	2550
13	2281
14	2831
15	3586
16	3373
17	3831
18	3750
19	4960
20	4944
21	4651
22	5446
23	4653
24	5466
25	4818
26	4976
27	5883
28	5237
29	4856
30	4855
31	5149
32	5417
33	4078
34	4599
35	4336
36	4770
37	4315
38	3716
39	4697
40	3789
41	4873
42	3020
43	3701
44	4143
45	3817
46	3716
47	3538
48	3359
49	3259
50	4125
51	3777
52	3216
53	3681
54	3554
55	3480
56	3668
57	3343
58	4256
59	2722
60	2912
61	3005
62	2983
63	2778
64	2503
65	2470
66	2924
67	2320
68	2549
69	2594
70	2509
71	2275
72	2157
73	2201
74	2212
75	2133
76	2158
77	2165
78	2344
79	2056
80	2238
81	2137
82	2064
83	1918
84	1932
85	2036
86	2031
87	1826
88	1910
89	1922
90	1957
91	1958
92	1971
93	1887
94	1870
95	1856
96	1764
97	2009
98	1715
99	1893
100	1777
101	1673
102	1626
103	1874
104	1654
105	1684
106	1805
107	1514
108	1670
109	1735
110	1623
111	1551
112	1637
113	1482
114	1466
115	1483
116	1602
117	1497
118	1437
119	1551
120	1386
121	1469
122	1497
123	1506
124	1338
125	1396
126	1411
127	1462
128	1367
129	1291
130	1284
131	1423
132	1349
133	1369
134	1327
135	1321
136	1291
137	1365
138	1289
139	1250
140	1265
141	1272
142	1213
143	1239
144	1167
145	1097
146	1206
147	1135
148	1086
149	1084
150	1122
151	1150
152	1144
153	1039
154	1064
155	1085
156	1067
157	1118
158	969
159	1039
160	1015
161	992
162	964
163	1139
164	915
165	946
166	948
167	916
168	1027
169	1037
170	887
171	949
172	911
173	926
174	927
175	861
176	1037
177	930
178	844
179	876
180	885
181	830
182	817
183	849
184	810
185	845
186	775
187	858
188	803
189	713
190	715
191	702
192	710
193	713
194	725
195	713
196	754
197	741
198	806
199	693
200	985
201	6291
202	10431
203	12827
204	12989
205	11197
206	8476
207	5903
208	3785
209	2480
210	1359
211	799
212	502
213	249
214	208
215	96
216	91
217	73
218	73
219	52
220	78
221	56
222	72
223	52
224	50
225	98
226	50
227	78
228	36
229	57
230	45
231	55
232	52
233	111
234	37
235	53
236	39
237	43
238	84
239	92
240	53
241	44
242	58
243	49
244	49
245	17
246	33
247	41
248	46
249	59
250	49
251	44
252	45
253	28
254	17
255	38
256	39
257	82
258	33
259	44
260	36
261	50
262	40
263	20
264	21
265	29
266	28
267	22
268	23
269	24
270	41
271	25
272	21
273	39
274	37
275	19
276	43
277	24
278	29
279	41
280	19
281	21
