length	count
4	5
5	56
6	288
7	283
8	989
9	1555
10	1416
11	2038
12	2366
13	2335
14	2574
15	3813
16	3463
17	3589
18	3684
19	4160
20	5178
21	4743
22	5255
23	4577
24	5081
25	4578
26	5018
27	4931
28	5691
29	4989
30	4803
31	4813
32	5026
33	4925
34	4850
35	4145
36	4460
37	4497
38	3704
39	3983
40	4045
41	4120
42	3753
43	4049
44	3905
45	4038
46	3533
47	3380
48	3497
49	3125
50	3410
51	3800
52	3537
53	3921
54	3437
55	3266
56	3654
57	3284
58	3723
59	3349
60	3340
61	2814
62	2802
63	2809
64	2653
65	2498
66	2435
67	2792
68	2436
69	2838
70	2478
71	2408
72	2195
73	2157
74	2142
75	2183
76	2209
77	2127
78	2089
79	2152
80	2143
81	2092
82	2210
83	2006
84	2107
85	1892
86	1953
87	1859
88	1989
89	1910
90	1864
91	1849
92	2039
93	1925
94	1814
95	1787
96	1924
97	1908
98	1699
99	1722
100	1830
101	1775
102	1829
103	1781
104	1534
105	1749
106	1703
107	1693
108	1598
109	1539
110	1684
111	1605
112	1723
113	1530
114	1506
115	1441
116	1629
117	1545
118	1487
119	1442
120	1476
121	1426
122	1476
123	1467
124	1391
125	1415
126	1343
127	1461
128	1443
129	1287
130	1361
131	1283
132	1329
133	1431
134	1302
135	1206
136	1332
137	1281
138	1334
139	1245
140	1295
141	1336
142	1216
143	1252
144	1203
145	1254
146	1178
147	1171
148	1058
149	1207
150	1272
151	1098
152	1149
153	1030
154	1039
155	1055
156	1008
157	1091
158	1071
159	1020
160	981
161	1131
162	1037
163	1011
164	920
165	1052
166	1051
167	950
168	921
169	832
170	996
171	1087
172	1020
173	904
174	930
175	867
176	959
177	943
178	963
179	893
180	899
181	982
182	828
183	843
184	715
185	796
186	771
187	821
188	812
189	794
190	769
191	745
192	692
193	683
194	785
195	791
196	741
197	733
198	729
199	722
200	868
201	991
202	1418
203	2838
204	4058
205	5704
206	6930
207	7859
208	8022
209	7650
210	6883
211	5945
212	5159
213	3919
214	3095
215	2375
216	1925
217	1454
218	1041
219	789
220	590
221	401
222	348
223	231
224	201
225	157
226	159
227	130
228	92
229	117
230	77
231	91
232	79
233	83
234	50
235	86
236	82
237	110
238	54
239	59
240	53
241	45
242	133
